,District,Population
0,Jomoro Municipal,126576.0
1,Ellembelle,120893.0
2,Nzema East Municipal,94621.0
3,Ahanta West Municipal,153140.0
4,Effia Kwesimintsim Municipal,173975.0
5,Sekondi Takoradi Metropolitan Area (STMA),245382.0
6,STMA-Takoradi,50065.0
7,STMA-Sekondi,54772.0
8,STMA-Essikado-Ketan,140545.0
9,Shama,117224.0
10,Wassa East,99641.0
11,Mpohor,52028.0
12,Tarkwa-Nsuaem Municipal,219109.0
13,Prestea/Huni Valley Municipal,229301.0
14,Wassa Amenfi East Municipal,179696.0
15,Wassa Amenfi Central,117999.0
16,Wassa Amenfi West Municipal,131000.0
17,Komenda Edina Eguafo Abirem Municipal,166017.0
18,Cape Cape Metropolitan Area (CCMA),189925.0
19,CCMA-Cape Coast South,70286.0
20,CCMA-Cape Coast North,119639.0
21,Abura Asebu Kwamankese,124465.0
22,Mfantsiman Municipal,168905.0
23,Ekumfi,56741.0
24,Gomoa West,129512.0
25,Effutu Municipal,108816.0
26,Gomoa Central,82592.0
27,Gomoa East,308697.0
28,Awutu Senya East Municipal,236527.0
29,Awutu Senya,161460.0
30,Agona East,98637.0
31,Agona West Municipal,136569.0
32,Asikuma Odoben Brakwa,126993.0
33,Ajumako Enyan Essiam,120586.0
34,Assin South,105995.0
35,Twifo Heman Lower Denkyira,66075.0
36,Twifo Ati Morkwa,100851.0
37,Assin Fosu Municipal,88753.0
38,Assin North,80539.0
39,Upper Denkyira East Municipal,110141.0
40,Upper Denkyira West,91025.0
41,Ga South Municipal,350121.0
42,Weija Gbawe Municipal,213674.0
43,Ga Central Municipal,332232.0
44,Ablekuma North Municipal,159208.0
45,Ablekuma West Municipal,153490.0
46,Ablekuma Central Municipal,169145.0
47,Accra Metropolitan Area (AMA),284124.0
48,AMA-Ablekuma South,110158.0
49,AMA-Ashiedu Keteke,88633.0
50,AMA-Okaikoi South,85333.0
51,Korle Klottey Municipal,68633.0
52,Ayawaso Central Municipal,94831.0
53,Ayawaso East Municipal,53004.0
54,Ayawaso North Municipal,63386.0
55,La Dade-Kotopon Municipal,140264.0
56,Ledzokuku Municipal,217304.0
57,Krowor Municipal,143012.0
58,Adentan Municipal,265971.0
59,Ayawaso West Municipal,75303.0
60,Okaikoi North Municipal,160446.0
61,Ga North Municipal,235292.0
62,Ga West Municipal,314299.0
63,Ga East Municipal,283379.0
64,La Nkwantanang Madina Municipal,220757.0
65,Kpone Katamanso Municipal,412828.0
66,Ashaiman Municipal,208060.0
67,Tema West Municipal,196224.0
68,Tema Metropolitan Area (TMA),177924.0
69,TMA-Tema Central,66191.0
70,TMA-Tema East,111733.0
71,Ningo-Prampram,204673.0
72,Shai-Osudoku,105610.0
73,Ada West,76087.0
74,Ada East,76411.0
75,South Tongu,113114.0
76,Anloga,94895.0
77,Keta Municipal,78862.0
78,Ketu South Municipal,253122.0
79,Ketu North Municipal,114993.0
80,Akatsi North,32755.0
81,Akatsi South Municipal,92133.0
82,Central Tongu,83284.0
83,North Tongu,111410.0
84,Ho West,83172.0
85,Adaklu,38649.0
86,Agortime-Ziope,39553.0
87,Ho Municipal,180142.0
88,South Dayi,57518.0
89,Afadzato South,73146.0
90,North Dayi,39268.0
91,Kpando Municipal,58552.0
92,Hohoe Municipal,114472.0
93,Birim South,35654.0
94,Birim Central Municipal,76302.0
95,Achiase,56348.0
96,Asene Manso Akroso,77498.0
97,West Akim Municipal,117681.0
98,Upper West Akim,95855.0
99,Ayensuano,94594.0
100,Nsawam Adoagyiri Municipal,155597.0
101,Akwapim South Municipal,76922.0
102,Akwapim North Municipal,105315.0
103,Okere,51675.0
104,New Juaben South Municipal,129741.0
105,New Juaben North Municipal,88716.0
106,Suhum Municipal,126403.0
107,Abuakwa North Municipal,76195.0
108,Abuakwa South Municipal,89051.0
